tier,vertical,company,city,phone,website,contact_form_url,data_confidence,notes,already_known
0-WARM already in contacts,Restoration / Adjuster,Super Clean Restoration PB,Palm Beach,,https://supercleanrestorationpb.com,,unconfirmed,"Restoration; independent; serves Juno Beach, North Palm Beach, Riviera Beach, Tequesta; likely-no-rebuild (unconfirmed)",YES
0-WARM already in contacts,Design / Showroom,Annie Santulli Designs,Palm Beach Gardens,,https://anniesantullidesigns.com,https://anniesantullidesigns.com/,indexed,InteriorDesign. Design-only full-service luxury; Juno Beach/Jupiter/North Palm Beach/Palm Beach,YES
0-WARM already in contacts,Trades / Real Estate,Illustrated Properties Real Estate,Palm Beach Gardens,,https://www.ipre.com/,,indexed,Brokerage - major north-county brokerage with PBG and Jupiter offices,YES
0-WARM already in contacts,Property Mgmt / HOA,Atlis Property Management,West Palm Beach,,https://www.atlispm.com/,,indexed,Advertises flat-fee project management for renovations and capital improvements over $1000,YES
0-WARM already in contacts,Restoration / Adjuster,BioBusters Remediation LLC,West Palm Beach,,https://thebiobusters.com,,unconfirmed,MoldRemediation; independent specialist; mold-only scope means every job needs a finish contractor - likely-no-rebuild (unconfirmed) = strong fit,YES
0-WARM already in contacts,Restoration / Adjuster,Fundisa Restoration,West Palm Beach,,https://www.fundisarestoration.com,,unconfirmed,"Restoration; independent; founder Angelo Salamanca per directory - unconfirmed; serves Juno Beach, North Palm Beach, Riviera Beach, Tequesta",YES
0-WARM already in contacts,Restoration / Adjuster,Titan Restoration Construction,West Palm Beach,,https://titanrebuild.com,https://titanrebuild.com/contact-us/,indexed,"Restoration; independent; domain is literally 'titanrebuild' and they market reconstruction - does in-house rebuild, weak fit; list only as overflow/subcontract lead",YES
1-Mold assessor (legal referral),Restoration / Adjuster,Integrity Mold Inspections,Palm Beach Gardens,,https://integritymoldinspection.com,,unconfirmed,MoldRemediation (assessment side); independent; FL-licensed mold assessor Beau Rose and owner Sheri Rose per search prose - unconfirmed; assessors cannot legally remediate the jobs they assess in FL so they refer out - referral-source fit,
1-Mold assessor (legal referral),Restoration / Adjuster,Stanley Restoration Services Inc,West Palm Beach,,https://www.stanleyrestorationservices.com,https://www.stanleyrestorationservices.com/contact-stanley-restoration,unconfirmed,"Restoration + MoldRemediation; independent woman-owned; licensed FL mold assessor and remediator per site copy - unconfirmed; water/mold/fire only, no reconstruction marketed - likely-no-rebuild (unconfirmed) = strong fit",
2-Mitigation only,Restoration / Adjuster,Pure Maintenance Mold Remediation Palm Beach,Palm Beach County,561-220-9940,https://www.removemoldpalmbeach.com,,unconfirmed,"MoldRemediation; franchise local office (Pure Maintenance dry-fog system); treatment-only technology, never rebuilds - likely-no-rebuild (unconfirmed) = strong fit; phone from search-result title",
2-Mitigation only,Restoration / Adjuster,Rytech Restoration of Palm Beach / Boca Raton,West Palm Beach,561-266-4868,https://palm-beach-boca-raton.rytechinc.com,,unconfirmed,Restoration + MoldRemediation; national franchise local office; Rytech is a water-mitigation and mold specialist that does not market reconstruction - likely-no-rebuild (unconfirmed) = strong fit; phone taken from search-result title,
2-Mitigation only,Restoration / Adjuster,AquaMax Restoration Services,Boca Raton,,https://aquamax-restoration.com,,unconfirmed,Restoration + MoldRemediation; independent family-owned; 10034 Spanish Isles Blvd Ste C1 Boca Raton per search prose - unconfirmed; likely-no-rebuild (unconfirmed),
2-Mitigation only,Restoration / Adjuster,Boca Raton Water Cleanup,Boca Raton,,https://bocaratonwatercleanup.com,,unconfirmed,Restoration; independent; IICRC water mitigation; site copy says they coordinate through to full property reconstruction - weaker fit (unconfirmed),
2-Mitigation only,Restoration / Adjuster,Clean Restoration & Recovery Inc,Boca Raton,,https://clean-restoration.com,,unconfirmed,"Restoration + MoldRemediation; independent; water extraction, repair and mold removal in Boca Raton; likely-no-rebuild (unconfirmed)",
2-Mitigation only,Restoration / Adjuster,Emergency Restoration Sciences,Boca Raton,,https://www.emergencyrestorationsciences.com,,unconfirmed,"Restoration + MoldRemediation; independent; service-area pages for Boca Raton, Boynton Beach, Lake Worth; no email in search index; rebuild not marketed - likely-no-rebuild (unconfirmed)",
2-Mitigation only,Restoration / Adjuster,FDP Mold Remediation of Boca Raton,Boca Raton,,https://www.fdpmoldremediation.com/boca-raton-fl/,,unconfirmed,MoldRemediation; multi-market brand with a Boca Raton location; remediation-only - likely-no-rebuild (unconfirmed) = strong fit,
2-Mitigation only,Restoration / Adjuster,SERVPRO of South Palm Beach,Boca Raton,,https://www.servpro.com/locations/fl/servpro-of-south-palm-beach,https://www.servpro.com/locations/fl/servpro-of-south-palm-beach/contact,unconfirmed,Restoration; national franchise local office; covers Boca/Highland Beach/Delray; SERVPRO franchises are mitigation-led and rebuild capability varies by franchisee - likely-no-rebuild (unconfirmed); has a team page worth mining for a named owner,
2-Mitigation only,Restoration / Adjuster,Union Restoration,Boca Raton,,https://www.unionrestoration.net,,unconfirmed,MoldRemediation + Restoration; independent; IICRC-trained per site copy - unconfirmed; also uses unionrestoration.com; mold and water only - likely-no-rebuild (unconfirmed),
2-Mitigation only,Restoration / Adjuster,All Dry USA - Boynton Beach,Boynton Beach,,https://www.alldryus.com/florida/boynton-beach/,,unconfirmed,Restoration + MoldRemediation; regional multi-location firm; water/fire/mold; likely-no-rebuild (unconfirmed),
2-Mitigation only,Restoration / Adjuster,"Water, Mold & Fire Restoration Inc",Boynton Beach,,,,unconfirmed,Restoration + MoldRemediation; independent; 648 NW 1st Ave Boynton Beach per BBB/Yelp listing - unconfirmed; no website surfaced in the search index - find domain before outreach; mitigation-named - likely-no-rebuild (unconfirmed),
2-Mitigation only,Restoration / Adjuster,911 Restoration of West Palm Beach,Jupiter,,https://911restorationwestpalmbeach.com,https://911restorationwestpalmbeach.com/contact-us/,unconfirmed,Restoration; national franchise local office; 815 University Blvd Ste 306 Jupiter per listing - unconfirmed; franchise mitigation model - likely-no-rebuild (unconfirmed),
2-Mitigation only,Restoration / Adjuster,Express Dry Restoration LLC,Jupiter,,https://www.expressdryrestoration.com,https://www.expressdryrestoration.com/contact-us/,unconfirmed,Restoration; independent family-owned; 600 Capital St Ste F Jupiter per listing - unconfirmed; drying-focused brand name; likely-no-rebuild (unconfirmed) = strong fit; owner Keith Dussich per directory - unconfirmed,
2-Mitigation only,Restoration / Adjuster,Fides Restoration,Jupiter,,https://www.fidesrestoration.com,,unconfirmed,Restoration + MoldRemediation; independent; Jupiter-based serving all Palm Beach County; no published email found in search index; likely-no-rebuild (unconfirmed),
2-Mitigation only,Restoration / Adjuster,MoldOuts,Lake Worth,,https://moldouts.com,,unconfirmed,"MoldRemediation; independent specialist serving Lake Worth, West Palm Beach, Boynton Beach, Delray Beach; remediation-only - likely-no-rebuild (unconfirmed) = strong fit",
2-Mitigation only,Restoration / Adjuster,Express Water Damage Repair,Lantana,,https://expresswaterdamagerepair.com,,unconfirmed,Restoration; independent; Lantana/Lake Worth/Greenacres and a Boca Raton page; water-damage-only brand - likely-no-rebuild (unconfirmed),
2-Mitigation only,Restoration / Adjuster,Mold and Water Florida,Palm Beach Gardens,,https://www.moldandwaterflorida.com,,unconfirmed,"MoldRemediation + Restoration; independent; Palm Beach Gardens, Jupiter and Fort Lauderdale; remediation-only branding - likely-no-rebuild (unconfirmed) = strong fit",
2-Mitigation only,Restoration / Adjuster,ServiceMaster by Glenn's,Palm Beach Gardens,,https://servicemasterbyglenns.com,,unconfirmed,"Restoration; franchise local office, 44+ years per site copy - unconfirmed; locations pages for Palm Beach and Palm Beach Gardens; ServiceMaster Restore is mitigation-led - likely-no-rebuild (unconfirmed)",
2-Mitigation only,Restoration / Adjuster,Fire Water Mold Emergency Restoration,Riviera Beach,,https://www.fire-water-mold.com,,unconfirmed,Restoration + MoldRemediation; independent; service-area pages for Riviera Beach and Juno Beach; name is purely mitigation services - likely-no-rebuild (unconfirmed) = strong fit,
2-Mitigation only,Restoration / Adjuster,Dri Air Restoration,Royal Palm Beach,,https://driairrestoration.com,,unconfirmed,"Restoration + MoldRemediation; independent; 10698 Bobbie Lane Royal Palm Beach per search prose - unconfirmed; serves Juno Beach, Tequesta, Riviera Beach; drying-focused - likely-no-rebuild (unconfirmed)",
2-Mitigation only,Restoration / Adjuster,Remediation 911 Water Fire Mold Inc,Royal Palm Beach,,https://remediation911.com,https://remediation911.com/contact/,unconfirmed,Restoration + MoldRemediation; independent; 581 105th Ave N Unit 36 Royal Palm Beach; water/fire/storm/mold; named VP Anthony Massimino per search prose - unconfirmed; rebuild capability not advertised - likely-no-rebuild (unconfirmed),
2-Mitigation only,Restoration / Adjuster,A Plus Mold Remediation,West Palm Beach,,https://www.aplusmoldremediation.com,,unconfirmed,MoldRemediation; independent specialist; remediation-only scope - likely-no-rebuild (unconfirmed) = strong fit,
3-Restoration / adjuster,Restoration / Adjuster,PALS Public Adjusters,Boca Raton,+1 561 258 9012,,,indexed,"PublicAdjuster; independent; only a bocaratondirect.us directory listing surfaced, no own domain found - verify the business is active before outreach; phone from search-result title",
3-Restoration / adjuster,Restoration / Adjuster,Allstar Adjusting,Boca Raton,,https://allstaradjusting.com,,indexed,"PublicAdjuster; independent; dedicated Boca Raton, Delray Beach and Palm Beach pages; main listed number is a 954 Broward line so confirm the local office is real",
3-Restoration / adjuster,Restoration / Adjuster,Barclays Public Insurance Adjusters,Boca Raton,,https://barclayspublicadjusters.com,,indexed,PublicAdjuster; independent; Boca Raton positioned; no email in search index,
3-Restoration / adjuster,Restoration / Adjuster,DC Restoration Services,Boca Raton,,https://www.dcrestorationfl.com,,indexed,MoldRemediation + Restoration; independent; mold remediation and restoration in Boca Raton; no email in search index,
3-Restoration / adjuster,Restoration / Adjuster,Florida's Best Public Adjusters,Boca Raton,,https://www.flbestpublicadjusters.com,https://www.flbestpublicadjusters.com/contact/,indexed,PublicAdjuster; multi-office FL firm with Boca Raton and West Palm Beach location pages; has an 'our public adjusters' team page worth mining for named contacts,
3-Restoration / adjuster,Restoration / Adjuster,Get Paid For Your Claim,Boca Raton,,https://www.getpaidforyourclaim.com,https://www.getpaidforyourclaim.com/contact/,indexed,PublicAdjuster; independent; dedicated Boca Raton 33431 location page,
3-Restoration / adjuster,Restoration / Adjuster,PubAdjuster Corp,Boca Raton,,https://pubadjuster.com,https://pubadjuster.com/contact-us,unconfirmed,"PublicAdjuster; independent; principal David Falks per search prose - unconfirmed; city pages for Boca Raton, Delray Beach, Lake Worth, West Palm Beach, Palm Beach County; PAs win claims then hand owners to a contractor = ideal referral partner",
3-Restoration / adjuster,Restoration / Adjuster,Reliant Adjusters Group,Boca Raton,,https://www.reliantadjustersgroup.com,https://www.reliantadjustersgroup.com/contact-public-insurance-adjusters,unconfirmed,"PublicAdjuster; independent; 134 NW 16th St Suite 12 Boca Raton per search prose - unconfirmed; fire, hurricane, water and mold claims; ideal referral partner",
3-Restoration / adjuster,Restoration / Adjuster,United Claims Specialists,Boca Raton,,https://www.ucspa.com,,indexed,PublicAdjuster; multi-state firm with Boca Raton and Palm Beach County pages,
3-Restoration / adjuster,Restoration / Adjuster,United Water Restoration Group of South Florida,Boca Raton,,https://uwrgs.com,,indexed,Restoration; franchise local office; ALREADY A MUNDSPRO PARTNER - do not cold-email; separate Boynton Beach location exists; use as reference/intro source for peer firms,
3-Restoration / adjuster,Restoration / Adjuster,Equitable Public Adjusters & Appraisers,Boynton Beach,,https://equitablepublicadjusters.com,https://equitablepublicadjusters.com/contact-us/,unconfirmed,"PublicAdjuster; independent; owner Leonard Pisciotto Jr, FL license E108900, 4530 Pine Tree Drive Boynton Beach per search prose - unconfirmed; small owner-operated firm = easy to reach a decision maker",
3-Restoration / adjuster,Restoration / Adjuster,Joe Taylor Restoration,Boynton Beach,,,,unconfirmed,"Restoration + MoldRemediation; independent, in business since 2002 per search prose - unconfirmed; serves Boynton Beach and Delray Beach; website not surfaced - find domain before outreach",
3-Restoration / adjuster,Restoration / Adjuster,Day Adjusting & Consulting,Delray Beach,,https://www.dayadjusting.com,,unconfirmed,PublicAdjuster; FL license W805415 per search prose - unconfirmed; dedicated Delray Beach and West Palm Beach pages,
3-Restoration / adjuster,Restoration / Adjuster,Dependable Claims Specialists (DCS PIA),Delray Beach,,https://www.dcspia.com,,unconfirmed,PublicAdjuster; FL firm license W820363 per search prose - unconfirmed; condo and storm claims in Delray Beach and Palm Beach County - condo work is a good match for interior remodeling,
3-Restoration / adjuster,Restoration / Adjuster,Sill (Alex N. Sill Company),Delray Beach,,https://www.sill.com,,indexed,PublicAdjuster; large national loss-consulting firm with a Delray Beach office; strong on large/commercial losses which suit a finish contractor with capacity,
3-Restoration / adjuster,Restoration / Adjuster,Force1 Restoration,Lake Worth,,https://lake-worth-fl.force1restorationfl.com,,indexed,"Restoration; independent; city subdomain structure covering Lake Worth, Greenacres, Lantana; no email in search index",
3-Restoration / adjuster,Restoration / Adjuster,Water Floods Restoration (WFR),Lake Worth,,https://waterfloodsrestoration.com,,unconfirmed,"Restoration; independent, operating since 2003 per site copy - unconfirmed; serves Lake Worth, Lantana, Boynton Beach, Greenacres; storm/flood focused",
3-Restoration / adjuster,Restoration / Adjuster,MJL Public Adjusting and Consulting,Loxahatchee,,https://www.mjlpublicadjusting.com,,unconfirmed,"PublicAdjuster; independent owner-operator Mike Lardiere, FL license W718929 per search prose - unconfirmed; covers Wellington, Royal Palm Beach, Palm Beach Gardens, Jupiter; small firm = direct line to the principal",
3-Restoration / adjuster,Restoration / Adjuster,One Call Property Services,North Palm Beach County,,,,unconfirmed,"Restoration + MoldRemediation; independent; licensed FL mold remediator per search prose - unconfirmed; serves Juno Beach, North Palm Beach, Tequesta, Riviera Beach; website not surfaced - find domain before outreach",
3-Restoration / adjuster,Restoration / Adjuster,"Florida State Public Adjusters, Inc.",Palm Beach County,,https://floridastatepa.com,,indexed,"PublicAdjuster; FL firm with a Palm Beach County page covering Belle Glade, Greenacres, Lake Worth Beach, Riviera Beach, Jupiter, Palm Beach Gardens, Wellington",
3-Restoration / adjuster,Restoration / Adjuster,People's Insurance Claim Center (PICC),Palm Beach County,,https://piccfla.com,https://piccfla.com/contact,indexed,"PublicAdjuster; FL firm; commercial and condominium claim specialisation; covers Belle Glade, Greenacres, Lake Worth Beach, Riviera Beach",
3-Restoration / adjuster,Restoration / Adjuster,Pinnacle Claim Services Inc,Palm Beach County,,https://pinnacleclaimservices.com,,indexed,"PublicAdjuster; FL firm with a Palm Beach County page covering Belle Glade, Greenacres, Lake Worth, Riviera Beach",
3-Restoration / adjuster,Restoration / Adjuster,Rapid Recovery Team,Palm Beach County,,https://www.rapidrecoveryteam.com,https://www.rapidrecoveryteam.com/contact-us/,indexed,"Restoration + MoldRemediation; independent; city pages for Boca Raton, Boynton Beach, Lake Worth, Royal Palm Beach, Palm Beach Gardens; has a 'Restore & Remodel' service page so does some rebuild - weaker fit",
3-Restoration / adjuster,Restoration / Adjuster,Restore & More LLC,Palm Beach County,,https://restoreandmorellc.com,,unconfirmed,Restoration + MoldRemediation; independent; licensed mold removal and water/fire/wind damage contractor per site copy - unconfirmed; a Louisiana firm shares the name so verify identity before outreach,
3-Restoration / adjuster,Restoration / Adjuster,Right On Time Restoration,Palm Beach County,,https://www.rightontimerestoration.com,,indexed,Restoration + MoldRemediation; multi-state (PA/NJ/DE/FL) so the FL branch may be thinly staffed - verify local presence; emergency restoration and mold remediation,
3-Restoration / adjuster,Restoration / Adjuster,Claim Concepts,Palm Beach Gardens,,https://claimconcepts.com,https://claimconcepts.com/contact-us/,unconfirmed,"PublicAdjuster; independent; 4360 Northlake Blvd Ste 207 Palm Beach Gardens per listing - unconfirmed; team includes former insurance adjusters and restoration contractors; covers the whole county incl Belle Glade, Greenacres, Riviera Beach",
3-Restoration / adjuster,Restoration / Adjuster,SERVPRO of Wellington South,Wellington,,,,unconfirmed,Restoration; franchise local office; company name and existence from search prose only - unconfirmed; find its servpro.com location URL before outreach,
3-Restoration / adjuster,Restoration / Adjuster,Century Public Adjusters,West Palm Beach,,https://www.centurypublicadjusters.com,https://www.centurypublicadjusters.com/contact-us/,unconfirmed,PublicAdjuster; multi-office FL firm; 1645 Palm Beach Lakes Blvd Ste 1200 West Palm Beach per search prose - unconfirmed; 12+ years in Palm Beach County,
3-Restoration / adjuster,Restoration / Adjuster,Noble Public Adjusting Group,West Palm Beach,,https://noblepagroup.com,,indexed,PublicAdjuster; multi-state firm with a West Palm Beach location page; trademark held by Noble Public Adjusting Group,
3-Restoration / adjuster,Restoration / Adjuster,Ocean Point Claims,West Palm Beach,,https://oceanpoint.claims,https://oceanpoint.claims/locations/west-palm-beach-public-adjuster/,indexed,PublicAdjuster; independent FL firm with a dedicated West Palm Beach location page; also uses appraiseclaims.com,
3-Restoration / adjuster,Restoration / Adjuster,Regency Disaster Response Team (Regency DRT),West Palm Beach,,https://www.regencydrt.com,https://www.regencydrt.com/contact-us/,indexed,"Restoration + MoldRemediation; independent, multi-location FL; has a 'Meet Our Team' page (https://www.regencydrt.com/about-us/meet-our-team/) that should carry named contacts; also markets 'full service restoration' so rebuild capability unclear",
3-Restoration / adjuster,Restoration / Adjuster,The People's Choice Public Adjuster,West Palm Beach,,https://tpcpublicadjusters.com,,indexed,PublicAdjuster; independent; dedicated West Palm Beach page; no email in search index,
4-Design / showroom,Design / Showroom,Affiniti Architects,Boca Raton,561.750.0445,https://affinitiarchitects.com,https://affinitiarchitects.com/contact/,unconfirmed,Architect. Design-only; offices in Boca Raton AND Delray Beach; 30 yrs. unconfirmed phone (prose summary only),
4-Design / showroom,Design / Showroom,Capitol Carpet & Tile and Window Fashions,Boca Raton,(561) 353-9800,https://www.capitolcarpetandtile.com,https://www.capitolcarpetandtile.com/boca-raton-fl,unconfirmed,"Showroom. 5 PBC showrooms (Boca/Boynton/Wellington/PBG/Delray); flooring + window treatments, no carpentry. unconfirmed phone (prose summary only)",
4-Design / showroom,Design / Showroom,Cavastone,Boca Raton,561-994-9100,https://cavastone.com,https://cavastone.com/tile-stores-in-boca-raton-fl-location,unconfirmed,Millwork-Stone. Marble tile + granite/quartz countertops; 646 Park of Commerce Way. unconfirmed phone (prose summary only),
4-Design / showroom,Design / Showroom,Debra Juliano Interior Design (DJID),Boca Raton,561-368-6367,https://djidinc.com,https://djidinc.com/,indexed,"InteriorDesign. Design-only established Boca Raton residential designer. Phone from indexed page title, reliable",
4-Design / showroom,Design / Showroom,Ferguson Bath Kitchen & Lighting Gallery,Boca Raton,(561) 997-8735,https://www.fergusonhome.com,https://www.fergusonhome.com/showroom/branch/boca-raton-fl-showroom-0121,unconfirmed,"Showroom. Sells product only - no install crew, classic referral source; kitchen/bath/appliance/lighting. unconfirmed phone (prose summary only)",
4-Design / showroom,Design / Showroom,Madrigal Design Group,Boca Raton,561-825-6262,https://madrigaldesign.decoratingden.com,https://madrigaldesign.decoratingden.com/boca-raton-interior-designer/,unconfirmed,InteriorDecorator. Decorating Den franchise - decorating only no crew; Boca + West Palm Beach. unconfirmed phone (prose summary only),
4-Design / showroom,Design / Showroom,Deziner Tonie Interiors,Boynton Beach,561-324-9090,https://dezinertonie.decoratingden.com,https://dezinertonie.decoratingden.com/interior-designer-near-you-in-boynton-beach/,unconfirmed,InteriorDecorator. Tonie VanderHulst; Decorating Den franchise - design + project mgmt no crew. unconfirmed phone (prose summary only),
4-Design / showroom,Design / Showroom,Ceramic Matrix,Delray Beach,(561) 353-1449,https://ceramicmatrix.com,https://ceramicmatrix.com/delray-beach-ceramic-matrix-stone-marble-and-tile-distributor/,unconfirmed,"Millwork-Stone. Stone/marble/porcelain DISTRIBUTOR - pure material supplier, strong referral fit; 1250 Wallace Dr. unconfirmed phone (prose summary only)",
4-Design / showroom,Design / Showroom,Just Tile & Marble,Delray Beach,(561) 272-4900,https://justtiledelray.com,https://justtiledelray.com/tile-store-delray-beach/,unconfirmed,Millwork-Stone. Tile & stone showroom; 241 N Congress Ave; sells material needs installer. unconfirmed phone (prose summary only),
4-Design / showroom,Design / Showroom,Passeri Marble and Tile,Delray Beach,561-243-3356,https://www.passerimarble.com,https://www.passerimarble.com/,unconfirmed,Millwork-Stone. Marble & tile; Delray Beach. unconfirmed phone (prose summary only),
4-Design / showroom,Design / Showroom,Palm Beach Staging and Designs,Palm Beach Gardens,(561) 856-4686,https://www.palmbeachstaginganddesigns.com,https://www.palmbeachstaginganddesigns.com/,unconfirmed,Stager. Staging + space planning + furniture rental; Jupiter/Juno/Palm Beach/Tequesta. Needs fast cosmetic work pre-listing. unconfirmed phone (prose summary only),
4-Design / showroom,Design / Showroom,Terri Polimeni Interiors,Palm Beach Gardens,(561) 429-6003,https://terripolimeniinteriors.com,https://terripolimeniinteriors.com/contact-us/,unconfirmed,InteriorDesign. Design-only full-service luxury residential; furniture selection; serves PBG/Jupiter/Palm Beach/Boca. unconfirmed phone (prose summary only),
4-Design / showroom,Design / Showroom,Diana Lynne Interiors,West Palm Beach,(561) 469-8117,https://dianalynne.decoratingden.com,https://dianalynne.decoratingden.com/areas-we-serve/west-palm-beach/,unconfirmed,InteriorDecorator. Decorating Den franchise - decorating only no crew. unconfirmed phone (prose summary only),
4-Design / showroom,Design / Showroom,Jason Ball Interior Design,West Palm Beach,561.657.5757,https://www.jasonballinteriordesign.com,https://www.jasonballinteriordesign.com/contact,unconfirmed,InteriorDesign. Design-only custom residential incl. kitchen/bath; PBG/Jupiter/Wellington. unconfirmed phone (prose summary only),
4-Design / showroom,Design / Showroom,Adriana's Designs,Boca Raton,,https://adrianasdesigns.com,https://adrianasdesigns.com/,indexed,Showroom. Custom drapery/smart shades/upholstery; Boca Raton,
4-Design / showroom,Design / Showroom,Arc4 Design,Boca Raton,,https://www.arc4design.com,https://www.arc4design.com/,indexed,Architect. Design-only; Dominick J. Ranieri AIA; architecture + land planning + interior design,
4-Design / showroom,Design / Showroom,Distinctive Kitchens & Baths,Boca Raton,,https://distinctivekitchens.com,https://distinctivekitchens.com/,indexed,Showroom. Custom kitchen/bath cabinetry dealer; 1217 Clint Moore Rd. Verify whether they install,
4-Design / showroom,Design / Showroom,Gotcha Covered of Boca Delray,Boca Raton,,https://www.gotchacovered.com/boca-delray/,https://www.gotchacovered.com/boca-delray/,indexed,Showroom. Custom window treatments franchise; Boca Raton + Delray; no carpentry crew,
4-Design / showroom,Design / Showroom,HdA Architects,Boca Raton,,https://www.hdaarchitects.com,https://www.hdaarchitects.com/,indexed,Architect. Design-only luxury residential; modern/minimalist; Boca + Delray,
4-Design / showroom,Design / Showroom,RLC Architects,Boca Raton,,,https://www.bldup.com/organizations/rlc-architects,indexed,Architect. Design-only; Retzsch/Lanao/Caycedo AIA; residential + planning,
4-Design / showroom,Design / Showroom,Sold By Stage,Boca Raton,,https://www.soldbystage.com,https://www.soldbystage.com/,unconfirmed,Stager. Pre-listing staging serving Boca Raton / Delray Beach. Home city unconfirmed - may be Miami/Broward based,
4-Design / showroom,Design / Showroom,The Place For Kitchens and Baths,Boca Raton,,https://www.theplaceforkitchensandbaths.com,https://www.theplaceforkitchensandbaths.com/,indexed,Showroom. Cabinetry/countertops/sinks/faucets; Boca + Delray. Verify whether they install,
4-Design / showroom,Design / Showroom,Tiery J Boykin Architect LLC,Boca Raton,,https://www.tieryarchitect.com,https://www.tieryarchitect.com/,indexed,Architect. Design-only sole practitioner; AIA Florida State Board Director 2022-2025,
4-Design / showroom,Design / Showroom,Debra J Interiors,Boynton Beach,,,https://www.houzz.com/professionals/interior-designers-and-decorators/debra-j-interiors-pfvwus-pf~1040562712,indexed,InteriorDesign. Design-only; kitchen/bath/custom cabinet design; Boynton/Lake Worth. Own domain not found via search,
